zcta,neighborhood,borough
11370,Jackson Heights - Rikers Island,Queens
11369,East Elmhurst,Queens
10469,Laconia,Bronx
10475,Co-Op City,Bronx
11239,Fresh Creek,Brooklyn
11004,Glen Oaks,Queens
11372,Jackson Heights,Queens
11411,Cambria Heights,Queens
10461,Pelham Bay,Bronx
11368,Corona,Queens
11429,Queens Village South,Queens
10303,Bloomfield,Staten Island
10465,Throgs Neck,Bronx
11427,Bellerose,Queens
10304,Todt Hill,Staten Island
10464,City Island,Bronx
10302,Elm Park,Staten Island
11428,Queens Village,Queens
11373,Elmhurst,Queens
11412,Saint Albans,Queens
11691,Far Rockaway,Queens
10466,Wakefield,Bronx
10470,Woodlawn,Bronx
10467,Norwood,Bronx
10314,Travis - Chelsea,Staten Island
10473,Castle Hill,Bronx
11366,Utopia,Queens
11413,Springfield Gardens,Queens
11694,Rockaway Park,Queens
11693,Rockaway Beach,Queens
11414,Howard Beach,Queens
11219,Borough Park,Brooklyn
10451,West Bronx,Bronx
10305,Arrochar,Staten Island
10309,Charleston,Staten Island
10468,Fordham Hill,Bronx
11422,Rosedale,Queens
10310,West Brighton,Staten Island
11434,Rochdale Village,Queens
10312,Arden Heights,Staten Island
11423,Hollis,Queens
10306,Richmond,Staten Island
11692,Arverne,Queens
10301,Silver Lake,Staten Island
10459,Foxhurst,Bronx
11697,Breezy Point,Queens
10307,Tottenville,Staten Island
10462,Parkchester,Bronx
11415,Kew Gardens,Queens
11374,Rego Park,Queens
10035,Spanish Harlem,Manhattan
10452,Mount Eden,Manhattan
10453,Morris Heights,Bronx
10454,Port Morris,Bronx
11230,Midwood,Brooklyn
10018,Midtown Manhattan,Manhattan
11426,Floral Park,Queens
11236,Canarsie,Brooklyn
11421,Woodhaven,Queens
10471,Riverdale,Bronx
10472,Soundview,Bronx
10455,Woodstock,Bronx
11435,Jamaica,Queens
11433,Cedar Manor,Queens
10457,Tremont,Bronx
11210,Flatlands,Brooklyn
10460,West Farms,Bronx
10308,Great Kills,Staten Island
11203,East Flatbush,Brooklyn
11204,New Utretch-Parkville,Brooklyn
11420,South Ozone Park,Queens
11234,Bergen Beach,Brooklyn
10474,Hunts Point,Bronx
11436,Rochdale,Queens
11417,Ozone Park,Queens
11367,Kew Gardens Hills,Queens
11418,Richmond Hill,Queens
11432,Jamaica Estates,Queens
11375,Forest Hills,Queens
10456,Concourse Village,Manhattan
10463,Kingsbridge,Bronx
11101,Long Island City,Queens
11235,Sheepshead Bay,Brooklyn
11218,Windsor Terrace,Brooklyn
10458,Fordham Manor,Bronx
11377,Woodside,Queens
10037,Harlem,Manhattan
11356,College Point,Queens
11213,Eastern Parkway,Brooklyn
11416,North Ozone Park,Queens
11379,Juniper Valley,Queens
10032,Washington Heights,Manhattan
10029,East Harlem,Manhattan
11224,Coney Island,Brooklyn
11211,Williamsburg,Brooklyn
11378,Maspeth,Queens
11208,East New York,Brooklyn
11223,Gravesend,Brooklyn
11357,Whitestone,Queens
10040,Fort George,Manhattan
10075,Central Park West,Manhattan
10031,Hamilton Heights,Manhattan
10033,Washington Heights,Manhattan
11225,Lefferts Gardens,Brooklyn
11419,Morris Park,Queens
11226,Flatbush,Brooklyn
11207,Broadway Junction,Brooklyn
11385,Glendale,Queens
11229,Marine Park,Brooklyn
11212,Marcus Garvey Village,Brooklyn
11365,Fresh Meadows,Queens
10039,Harlem,Manhattan
11104,Sunnyside Gardens,Queens
11232,South Slope,Brooklyn
10019,Midtown Manhattan,Manhattan
10036,Midtown West,Manhattan
10030,Strivers' Row,Manhattan
11209,Fort Hamilton,Brooklyn
11362,Little Neck,Queens
10026,South Harlem,Manhattan
10001,Chelsea,Manhattan
11360,Clearview Park,Queens
11206,Williamsburg-Bushwick,Brooklyn
11102,Astoria,Queens
11233,Ocean Hill,Brooklyn
11214,Bath Beach,Brooklyn
11205,Pratt,Brooklyn
11237,Knickerbocker Ave.,Brooklyn
11361,Bayside,Queens
11106,Astoria,Queens
11363,Douglaston,Queens
10027,Morningside Heights,Manhattan
10016,Midtown Manhattan,Manhattan
11354,Linden Hill,Queens
11217,Boerum Hill,Brooklyn
10282,Battery Park City,Manhattan
11358,Auburndale,Queens
10021,Central Park West,Manhattan
11238,Prospect Heights,Brooklyn
10034,Inwood,Manhattan
11220,Sunset Park,Brooklyn
11228,Dyker Heights,Brooklyn
11221,Bushwick,Brooklyn
10044,Roosevelt Island,Manhattan
11364,Oakland Gardens,Queens
11105,Steinway,Queens
11103,Astoria Heights,Queens
10025,Bloomingdale,Manhattan
10002,Two Bridges,Manhattan
11355,Kissena Blvd.,Queens
11222,Greenpoint,Brooklyn
11109,Hunter's Point,Queens
10009,Alphabet City,Manhattan
10004,Financial District,Manhattan
11216,Stuyvesant,Brooklyn
10022,Midtown Manhattan,Manhattan
10065,Upper East Side,Manhattan
10069,Riverside Park South,Manhattan
10024,Upper West Side,Manhattan
10011,Chelsea,Manhattan
11231,Red Hook,Brooklyn
10128,Upper East Side,Manhattan
10028,Upper East Side,Manhattan
10014,Greenwich Village,Manhattan
10038,Brooklyn Bridge,Manhattan
11201,Downtown Brooklyn,Brooklyn
10023,Lincoln Square,Manhattan
10017,Midtown Manhattan,Manhattan
10013,Tribeca,Manhattan
10003,Ukrainian Village,Manhattan
10010,Midtown Manhattan,Manhattan
11215,Park Slope,Brooklyn
10007,Tribeca,Manhattan
10005,Financial District,Manhattan
10012,SoHo,Manhattan
10006,World Trade Center,Manhattan
10280,Battery Park City,Manhattan
